"Main";"Middle";"Sub";"Main";"Middle";"Sub"
 ; ;"RS - QGTC01 - TEL - TL ILU - RESERVA EQUIPADA";"1";"1";"79"
 ; ;"RS - QGTC01 - TEL - TL ILU - RESERVA EQUIPADA";"1";"1";"80"
 ; ;"RS - QGTC01 - TL - TL ILU - CTO 1-2 ILU RACK´S LACTEOS";"1";"1";"81"
 ; ;"RS - QGTC01 - TL - TL ILU - CTO 3-4 ILU RACK´S LACTEOS";"1";"1";"82"
 ; ;"RS - QGTC01 - TL - TL ILU - CTO 5-6 ILU RACK´S LACTEOS";"1";"1";"83"
 ; ;"RS - QGTC01 - TL - TL ILU - CTO 7-8 ILU RACK´S LACTEOS";"1";"1";"84"
 ; ;"RS - QGTC01 - TL - TL ILU - CTO 9-10 ILU RACK´S LACTEOS";"1";"1";"85"
 ; ;"RS - QGTC01 - TL - TL ILU - CTO 11-12 ILU RACK´S LACTEOS";"1";"1";"86"
 ; ;"RS - QGTC01 - TL - TL ILU - CTO 13-14 ILU RACK´S LACTEOS";"1";"1";"87"
 ; ;"RS - QGTC01 - TL - TL ILU - CTO 15 - 16ILU RACK´S LACTEOS";"1";"1";"88"
 ; ;"RS - QGTC01 - TL - TL ILU - CTO 17-18 ILU PASILLO";"1";"1";"89"
 ; ;"RS - QGTC01 - TL - TL ILU - CTO 19 -20 ILU PASILLO";"1";"1";"90"
 ; ;"RS - QGTC01 - TL - TL ILU - CTO 21 -22 ILU PALETS LACTEOS";"1";"1";"91"
 ; ;"RS - QGTC01 - TL - TL ILU - CTO 23 -24 ILU PALETS LACTEOS";"1";"1";"92"
 ; ;"RS - QGTC01 - TL - TL ILU - CTO 25 -26 ILU RACK´S LACTEOS";"1";"1";"93"
 ; ;"RS - QGTC01 - TF - TL ILU - CTO 1-2 ILU CONGELADOS";"1";"1";"94"
 ; ;"RS - QGTC01 - TF - TL ILU - CTO 3-4 ILU CONGELADOS";"1";"1";"95"
 ; ;"RS - QGTC01 - TF - TL ILU - CTO 5-6 ILU CONGELADOS";"1";"1";"96"
 ; ;"RS - QGTC01 - TF - TL ILU - CTO 7-8 ILU CONGELADOS";"1";"1";"97"
 ; ;"RS - QGTC01 - TF - TL ILU - CTO 9-10 ILU RACK´S FRUVER";"1";"1";"98"
 ; ;"RS - QGTC01 - TF - TL ILU - CTO 11-12 ILU RACK´S FRUVER";"1";"1";"99"
 ; ;"RS - QGTC01 - TF - TL ILU - CTO 13-14 ILU RACK´S FRUVER";"1";"1";"100"
 ; ;"RS - QGTC01 - TF - TL ILU - CTO 15-16 ILU RACK´S FRUVER";"1";"1";"101"
 ; ;"RS - QGTC01 - TF - TL ILU - CTO 17-18 ILU PALETS FRUVER";"1";"1";"102"
 ; ;"RS - QGTC01 - TF - TL ILU - CTO 19-20 ILU PALETS FRUVER";"1";"1";"103"
 ; ;"RS - QGTC01 - TF - TL ILU - CTO 21-22 ILU PALETS FRUVER";"1";"1";"104"
 ; ;"RS - QGTC01 - TF - TL ILU - CTO 23-24 ILU RACK´S FRUVER";"1";"1";"105"
 ; ;"RS - QGTC01 - TEF - TL ILU - CTO 1-2 INVERSOR 1 FRUVER";"1";"1";"106"
 ; ;"RS - QGTC01 - TEF - TL ILU - CTO 3-4 INVERSOR 2 FRUVER";"1";"1";"107"
 ; ;"RS - QGTC01 - TEF - TL ILU - CTO 5 RESERVA EQUIPADA";"1";"1";"108"
 ; ;"RS - QGTC01 - TEF - TL ILU - CTO 6 RESERVA EQUIPADA";"1";"1";"109"
 ; ;"RS - QGTC01 - TP - TL ILU - CTO 1 ILU OFICINA PORTERIA";"1";"1";"110"
 ; ;"RS - QGTC01 - TP - TL ILU - CTO 2 ILU BANO-PASILLO-TECNICO";"1";"1";"111"
 ; ;"RS - QGTC01 - TIEP - TL ILU - CTO 1-2 ILU EXTERIOR";"1";"1";"112"
 ; ;"RS - QGTC01 - TIEP - TL ILU - CTO 3-4 ILU EXTERIOR";"1";"1";"113"
 ; ;"RS - QGTC01 - TIEP - TL ILU - CTO 5-6 ILU EXTERIOR";"1";"1";"114"
 ; ;"RS - QGTC01 - TIEP - TL ILU - CTO 7-8 ILU EXTERIOR";"1";"1";"115"
 ; ;"RS - QGTC01 - TIEP - TL ILU - CTO 9 ILU EXTERIOR PORTERIA";"1";"1";"116"
